CODE_PROD,LIB_PROD,NATURE_CONSOM,forecast_week,horizon_weeks,predicted_qty
5BB090420,GANT D'EXAMEN EN LATEX NON POUDRE TAILLE,0.0,2024-02-05,1,524.0
5BB090420,GANT D'EXAMEN EN LATEX NON POUDRE TAILLE,0.0,2024-02-12,2,538.86
5BB090420,GANT D'EXAMEN EN LATEX NON POUDRE TAILLE,0.0,2024-02-19,3,338.73
5BB090420,GANT D'EXAMEN EN LATEX NON POUDRE TAILLE,0.0,2024-02-26,4,280.28
5BB090300,GANT D'EXAMEN EN LATEX POUDRE M,0.0,2024-02-05,1,234.46
5BB090300,GANT D'EXAMEN EN LATEX POUDRE M,0.0,2024-02-12,2,211.91
5BB090300,GANT D'EXAMEN EN LATEX POUDRE M,0.0,2024-02-19,3,191.17
5BB090300,GANT D'EXAMEN EN LATEX POUDRE M,0.0,2024-02-26,4,134.44
5BB090084,GANT D'EXAMEN EN LATEX NON POUDRE,0.0,2024-02-05,1,130.45
5BB090084,GANT D'EXAMEN EN LATEX NON POUDRE,0.0,2024-02-12,2,156.71
5BB090084,GANT D'EXAMEN EN LATEX NON POUDRE,0.0,2024-02-19,3,136.48
5BB090084,GANT D'EXAMEN EN LATEX NON POUDRE,0.0,2024-02-26,4,113.23
5BB060068,COMPRESSE STERILE TISSE 5X5 PQT 5,1.0,2024-02-05,1,75.95
5BB060068,COMPRESSE STERILE TISSE 5X5 PQT 5,1.0,2024-02-12,2,59.38
5BB060068,COMPRESSE STERILE TISSE 5X5 PQT 5,1.0,2024-02-19,3,76.43
5BB060068,COMPRESSE STERILE TISSE 5X5 PQT 5,1.0,2024-02-26,4,65.31
5BB090021,BAVETTES,0.0,2024-02-05,1,244.97
5BB090021,BAVETTES,0.0,2024-02-12,2,151.03
5BB090021,BAVETTES,0.0,2024-02-19,3,181.96
5BB090021,BAVETTES,0.0,2024-02-26,4,148.92
5BB010143,SERINGUE 10ML,1.0,2024-02-05,1,36.21
5BB010143,SERINGUE 10ML,1.0,2024-02-12,2,32.69
5BB010143,SERINGUE 10ML,1.0,2024-02-19,3,46.79
5BB010143,SERINGUE 10ML,1.0,2024-02-26,4,47.26
5BB090004,ABAISSE LANGUE EN BOIS BTE 100,0.0,2024-02-05,1,234.05
5BB090004,ABAISSE LANGUE EN BOIS BTE 100,0.0,2024-02-12,2,227.2
5BB090004,ABAISSE LANGUE EN BOIS BTE 100,0.0,2024-02-19,3,194.96
5BB090004,ABAISSE LANGUE EN BOIS BTE 100,0.0,2024-02-26,4,184.91
5BB140030,SACHET POUR TRANSFER DES TUBES,0.0,2024-02-05,1,162.79
5BB140030,SACHET POUR TRANSFER DES TUBES,0.0,2024-02-12,2,99.3
5BB140030,SACHET POUR TRANSFER DES TUBES,0.0,2024-02-19,3,96.12
5BB140030,SACHET POUR TRANSFER DES TUBES,0.0,2024-02-26,4,93.72
5BB010089,PERFUSEUR A SERUM AVEC ROBINET,1.0,2024-02-05,1,30.67
5BB010089,PERFUSEUR A SERUM AVEC ROBINET,1.0,2024-02-12,2,25.18
5BB010089,PERFUSEUR A SERUM AVEC ROBINET,1.0,2024-02-19,3,37.06
5BB010089,PERFUSEUR A SERUM AVEC ROBINET,1.0,2024-02-26,4,36.15
5BB140034,TAMPON ALCOLISE LINGETTE P. ECBU ESP,1.0,2024-02-05,1,35.59
5BB140034,TAMPON ALCOLISE LINGETTE P. ECBU ESP,1.0,2024-02-12,2,28.65
5BB140034,TAMPON ALCOLISE LINGETTE P. ECBU ESP,1.0,2024-02-19,3,42.55
5BB140034,TAMPON ALCOLISE LINGETTE P. ECBU ESP,1.0,2024-02-26,4,32.45
5BB010075,INTRANULE G 20,1.0,2024-02-05,1,17.49
5BB010075,INTRANULE G 20,1.0,2024-02-12,2,17.65
5BB010075,INTRANULE G 20,1.0,2024-02-19,3,26.94
5BB010075,INTRANULE G 20,1.0,2024-02-26,4,27.9
5BB060056,CHARLOTTES FEMME BLEU ET VERT,0.0,2024-02-05,1,194.68
5BB060056,CHARLOTTES FEMME BLEU ET VERT,0.0,2024-02-12,2,118.14
5BB060056,CHARLOTTES FEMME BLEU ET VERT,0.0,2024-02-19,3,114.08
5BB060056,CHARLOTTES FEMME BLEU ET VERT,0.0,2024-02-26,4,117.29
5BB090014,BANDELETTE ET LANCETTE CONTOUR PLUS,1.0,2024-02-05,1,31.99
5BB090014,BANDELETTE ET LANCETTE CONTOUR PLUS,1.0,2024-02-12,2,26.65
5BB090014,BANDELETTE ET LANCETTE CONTOUR PLUS,1.0,2024-02-19,3,40.9
5BB090014,BANDELETTE ET LANCETTE CONTOUR PLUS,1.0,2024-02-26,4,31.95
5BB140044,TUBE HEPARINE  4ML,0.0,2024-02-05,1,92.3
5BB140044,TUBE HEPARINE  4ML,0.0,2024-02-12,2,118.68
5BB140044,TUBE HEPARINE  4ML,0.0,2024-02-19,3,95.28
5BB140044,TUBE HEPARINE  4ML,0.0,2024-02-26,4,97.34
T00058,MASQUE DE PROTECTION FFP 2,0.0,2024-02-05,1,78.78
T00058,MASQUE DE PROTECTION FFP 2,0.0,2024-02-12,2,76.26
T00058,MASQUE DE PROTECTION FFP 2,0.0,2024-02-19,3,71.89
T00058,MASQUE DE PROTECTION FFP 2,0.0,2024-02-26,4,66.4
5BB140048,TUBE ROUGE SEC 4ML,0.0,2024-02-05,1,97.92
5BB140048,TUBE ROUGE SEC 4ML,0.0,2024-02-12,2,104.32
5BB140048,TUBE ROUGE SEC 4ML,0.0,2024-02-19,3,103.41
5BB140048,TUBE ROUGE SEC 4ML,0.0,2024-02-26,4,91.59
T00095,TUBE  EDTA-K2 4ML,0.0,2024-02-05,1,87.06
T00095,TUBE  EDTA-K2 4ML,0.0,2024-02-12,2,93.29
T00095,TUBE  EDTA-K2 4ML,0.0,2024-02-19,3,94.26
T00095,TUBE  EDTA-K2 4ML,0.0,2024-02-26,4,91.38
5BB050214,ELECTRODE ECG ADULTE/ENFANT,1.0,2024-02-05,1,28.18
5BB050214,ELECTRODE ECG ADULTE/ENFANT,1.0,2024-02-12,2,27.04
5BB050214,ELECTRODE ECG ADULTE/ENFANT,1.0,2024-02-19,3,34.11
5BB050214,ELECTRODE ECG ADULTE/ENFANT,1.0,2024-02-26,4,35.92
5AD100004,OMEPRAZOLE NORMON 40 MG  40MG INJECTA (0,1.0,2024-02-05,1,8.58
5AD100004,OMEPRAZOLE NORMON 40 MG  40MG INJECTA (0,1.0,2024-02-12,2,8.9
5AD100004,OMEPRAZOLE NORMON 40 MG  40MG INJECTA (0,1.0,2024-02-19,3,10.03
5AD100004,OMEPRAZOLE NORMON 40 MG  40MG INJECTA (0,1.0,2024-02-26,4,8.65
5AD010083,PARACETAMOL NORMON 10  INJECTA (50),1.0,2024-02-05,1,3.83
5AD010083,PARACETAMOL NORMON 10  INJECTA (50),1.0,2024-02-12,2,4.38
5AD010083,PARACETAMOL NORMON 10  INJECTA (50),1.0,2024-02-19,3,5.14
5AD010083,PARACETAMOL NORMON 10  INJECTA (50),1.0,2024-02-26,4,4.75
5BB060063,COMPRESSE STERILE  TISSE 10X10 PQT5,1.0,2024-02-05,1,27.51
5BB060063,COMPRESSE STERILE  TISSE 10X10 PQT5,1.0,2024-02-12,2,30.39
5BB060063,COMPRESSE STERILE  TISSE 10X10 PQT5,1.0,2024-02-19,3,41.9
5BB060063,COMPRESSE STERILE  TISSE 10X10 PQT5,1.0,2024-02-26,4,39.75
5AD100002,CLOPRAME 10 MG/2ML SOLUT 10MG/2ML INJECT,1.0,2024-02-05,1,3.82
5AD100002,CLOPRAME 10 MG/2ML SOLUT 10MG/2ML INJECT,1.0,2024-02-12,2,4.28
5AD100002,CLOPRAME 10 MG/2ML SOLUT 10MG/2ML INJECT,1.0,2024-02-19,3,4.92
5AD100002,CLOPRAME 10 MG/2ML SOLUT 10MG/2ML INJECT,1.0,2024-02-26,4,4.44
5AD010001,ACUPAN 20 MG SOLUTION IN 20MG INJECTA (0,1.0,2024-02-05,1,3.3
5AD010001,ACUPAN 20 MG SOLUTION IN 20MG INJECTA (0,1.0,2024-02-12,2,3.88
5AD010001,ACUPAN 20 MG SOLUTION IN 20MG INJECTA (0,1.0,2024-02-19,3,4.48
5AD010001,ACUPAN 20 MG SOLUTION IN 20MG INJECTA (0,1.0,2024-02-26,4,3.67
5BB010014,AIGUILLE DE PRELEVEMENT 22G25MM,1.0,2024-02-05,1,14.69
5BB010014,AIGUILLE DE PRELEVEMENT 22G25MM,1.0,2024-02-12,2,10.15
5BB010014,AIGUILLE DE PRELEVEMENT 22G25MM,1.0,2024-02-19,3,12.74
5BB010014,AIGUILLE DE PRELEVEMENT 22G25MM,1.0,2024-02-26,4,11.43
5BB060105,SPARADRAP HYPO  10CMX10M,0.0,2024-02-05,1,36.96
5BB060105,SPARADRAP HYPO  10CMX10M,0.0,2024-02-12,2,30.98
5BB060105,SPARADRAP HYPO  10CMX10M,0.0,2024-02-19,3,34.98
5BB060105,SPARADRAP HYPO  10CMX10M,0.0,2024-02-26,4,34.48
5AD010043,NO-SPA 40MG/2ML SOLUT   INJECTA (05),1.0,2024-02-05,1,12.66
5AD010043,NO-SPA 40MG/2ML SOLUT   INJECTA (05),1.0,2024-02-12,2,14.31
5AD010043,NO-SPA 40MG/2ML SOLUT   INJECTA (05),1.0,2024-02-19,3,15.49
5AD010043,NO-SPA 40MG/2ML SOLUT   INJECTA (05),1.0,2024-02-26,4,17.19
5BB090171,SURCHAUSSURES EN POLETHY N.TISSE BIO,0.0,2024-02-05,1,56.93
5BB090171,SURCHAUSSURES EN POLETHY N.TISSE BIO,0.0,2024-02-12,2,71.21
5BB090171,SURCHAUSSURES EN POLETHY N.TISSE BIO,0.0,2024-02-19,3,66.98
5BB090171,SURCHAUSSURES EN POLETHY N.TISSE BIO,0.0,2024-02-26,4,54.15
5BB010102,SERINGUE 20ML,1.0,2024-02-05,1,6.59
5BB010102,SERINGUE 20ML,1.0,2024-02-12,2,9.77
5BB010102,SERINGUE 20ML,1.0,2024-02-19,3,11.62
5BB010102,SERINGUE 20ML,1.0,2024-02-26,4,10.08
5BB010104,SERINGUE 5ML,1.0,2024-02-05,1,7.32
5BB010104,SERINGUE 5ML,1.0,2024-02-12,2,6.24
5BB010104,SERINGUE 5ML,1.0,2024-02-19,3,8.6
5BB010104,SERINGUE 5ML,1.0,2024-02-26,4,6.82
5BB060059,COMPRESSE NON TISSE 5X5 (5 PIECES),1.0,2024-02-05,1,4.51
5BB060059,COMPRESSE NON TISSE 5X5 (5 PIECES),1.0,2024-02-12,2,4.82
5BB060059,COMPRESSE NON TISSE 5X5 (5 PIECES),1.0,2024-02-19,3,5.35
5BB060059,COMPRESSE NON TISSE 5X5 (5 PIECES),1.0,2024-02-26,4,5.0
5BB060121,SPARADRAP TEGADERM IV 6CMX7CM,1.0,2024-02-05,1,0.96
5BB060121,SPARADRAP TEGADERM IV 6CMX7CM,1.0,2024-02-12,2,1.12
5BB060121,SPARADRAP TEGADERM IV 6CMX7CM,1.0,2024-02-19,3,1.24
5BB060121,SPARADRAP TEGADERM IV 6CMX7CM,1.0,2024-02-26,4,1.2
5AD010036,MIDAZOLAM AGUETTANT 5 MG 5MG INJECTA (10,1.0,2024-02-05,1,6.83
5AD010036,MIDAZOLAM AGUETTANT 5 MG 5MG INJECTA (10,1.0,2024-02-12,2,7.45
5AD010036,MIDAZOLAM AGUETTANT 5 MG 5MG INJECTA (10,1.0,2024-02-19,3,10.5
5AD010036,MIDAZOLAM AGUETTANT 5 MG 5MG INJECTA (10,1.0,2024-02-26,4,7.99
5BB010076,INTRANULE G 22,1.0,2024-02-05,1,7.25
5BB010076,INTRANULE G 22,1.0,2024-02-12,2,10.06
5BB010076,INTRANULE G 22,1.0,2024-02-19,3,9.39
5BB010076,INTRANULE G 22,1.0,2024-02-26,4,6.34
5BB140081,FLACON DE PRELEV D'URINE SOUS VIDE 120ML,1.0,2024-02-05,1,8.05
5BB140081,FLACON DE PRELEV D'URINE SOUS VIDE 120ML,1.0,2024-02-12,2,9.64
5BB140081,FLACON DE PRELEV D'URINE SOUS VIDE 120ML,1.0,2024-02-19,3,10.99
5BB140081,FLACON DE PRELEV D'URINE SOUS VIDE 120ML,1.0,2024-02-26,4,11.01
5BB010074,INTRANULE G 18,1.0,2024-02-05,1,5.01
5BB010074,INTRANULE G 18,1.0,2024-02-12,2,4.46
5BB010074,INTRANULE G 18,1.0,2024-02-19,3,5.13
5BB010074,INTRANULE G 18,1.0,2024-02-26,4,5.02
5BB140010,FLACON POUR URINE ECBU 60ML,1.0,2024-02-05,1,7.15
5BB140010,FLACON POUR URINE ECBU 60ML,1.0,2024-02-12,2,8.99
5BB140010,FLACON POUR URINE ECBU 60ML,1.0,2024-02-19,3,9.79
5BB140010,FLACON POUR URINE ECBU 60ML,1.0,2024-02-26,4,8.44
5BB010100,SERINGUE 1ML,1.0,2024-02-05,1,6.12
5BB010100,SERINGUE 1ML,1.0,2024-02-12,2,6.37
5BB010100,SERINGUE 1ML,1.0,2024-02-19,3,7.46
5BB010100,SERINGUE 1ML,1.0,2024-02-26,4,7.17
5BB140043,TUBE EDTA-K2 2ML,0.0,2024-02-05,1,23.41
5BB140043,TUBE EDTA-K2 2ML,0.0,2024-02-12,2,20.02
5BB140043,TUBE EDTA-K2 2ML,0.0,2024-02-19,3,26.32
5BB140043,TUBE EDTA-K2 2ML,0.0,2024-02-26,4,31.58
5AD020035,MAXICLAV 1G/200 MG PO  1G/200  POUDRE (0,1.0,2024-02-05,1,4.46
5AD020035,MAXICLAV 1G/200 MG PO  1G/200  POUDRE (0,1.0,2024-02-12,2,4.87
5AD020035,MAXICLAV 1G/200 MG PO  1G/200  POUDRE (0,1.0,2024-02-19,3,6.23
5AD020035,MAXICLAV 1G/200 MG PO  1G/200  POUDRE (0,1.0,2024-02-26,4,5.03
5BB010077,INTRANULE G 24,1.0,2024-02-05,1,5.3
5BB010077,INTRANULE G 24,1.0,2024-02-12,2,5.46
5BB010077,INTRANULE G 24,1.0,2024-02-19,3,7.65
5BB010077,INTRANULE G 24,1.0,2024-02-26,4,6.26
5BB140046,TUBE HEPARINE 2ML,0.0,2024-02-05,1,23.31
5BB140046,TUBE HEPARINE 2ML,0.0,2024-02-12,2,7.06
5BB140046,TUBE HEPARINE 2ML,0.0,2024-02-19,3,10.51
5BB140046,TUBE HEPARINE 2ML,0.0,2024-02-26,4,11.29
5BB060082,DRAP P. TABLE D'EXAMEN BLANC,0.0,2024-02-05,1,11.76
5BB060082,DRAP P. TABLE D'EXAMEN BLANC,0.0,2024-02-12,2,11.01
5BB060082,DRAP P. TABLE D'EXAMEN BLANC,0.0,2024-02-19,3,12.93
5BB060082,DRAP P. TABLE D'EXAMEN BLANC,0.0,2024-02-26,4,10.89
5BB090169,SURBLOUSE VISITEUR NON STÉRILE,0.0,2024-02-05,1,47.05
5BB090169,SURBLOUSE VISITEUR NON STÉRILE,0.0,2024-02-12,2,49.0
5BB090169,SURBLOUSE VISITEUR NON STÉRILE,0.0,2024-02-19,3,50.41
5BB090169,SURBLOUSE VISITEUR NON STÉRILE,0.0,2024-02-26,4,55.18
5BB010117,SET DE SUTURE REF470258,1.0,2024-02-05,1,4.5
5BB010117,SET DE SUTURE REF470258,1.0,2024-02-12,2,4.99
5BB010117,SET DE SUTURE REF470258,1.0,2024-02-19,3,6.34
5BB010117,SET DE SUTURE REF470258,1.0,2024-02-26,4,5.13
5BB060014,BANDE DE CREPE  5 CM,1.0,2024-02-05,1,4.97
5BB060014,BANDE DE CREPE  5 CM,1.0,2024-02-12,2,4.64
5BB060014,BANDE DE CREPE  5 CM,1.0,2024-02-19,3,6.56
5BB060014,BANDE DE CREPE  5 CM,1.0,2024-02-26,4,5.18
5BB020005,POCHE A URINE ADULTE,1.0,2024-02-05,1,5.8
5BB020005,POCHE A URINE ADULTE,1.0,2024-02-12,2,6.45
5BB020005,POCHE A URINE ADULTE,1.0,2024-02-19,3,7.19
5BB020005,POCHE A URINE ADULTE,1.0,2024-02-26,4,5.49
5BB060012,BANDE DE CREPE  10 CM,1.0,2024-02-05,1,4.37
5BB060012,BANDE DE CREPE  10 CM,1.0,2024-02-12,2,4.9
5BB060012,BANDE DE CREPE  10 CM,1.0,2024-02-19,3,5.92
5BB060012,BANDE DE CREPE  10 CM,1.0,2024-02-26,4,4.79
5BB090017,BANDELETTE URINAIRE 10 PARAMETRES B/,1.0,2024-02-05,1,4.31
5BB090017,BANDELETTE URINAIRE 10 PARAMETRES B/,1.0,2024-02-12,2,4.48
5BB090017,BANDELETTE URINAIRE 10 PARAMETRES B/,1.0,2024-02-19,3,4.73
5BB090017,BANDELETTE URINAIRE 10 PARAMETRES B/,1.0,2024-02-26,4,4.81
5BB010101,SERINGUE 2.5ML,1.0,2024-02-05,1,5.03
5BB010101,SERINGUE 2.5ML,1.0,2024-02-12,2,5.07
5BB010101,SERINGUE 2.5ML,1.0,2024-02-19,3,6.74
5BB010101,SERINGUE 2.5ML,1.0,2024-02-26,4,4.97
5AD070020,FURILAN 20 MG SOLUTÉ INJ 20MG INJECTA (0,1.0,2024-02-05,1,4.0
5AD070020,FURILAN 20 MG SOLUTÉ INJ 20MG INJECTA (0,1.0,2024-02-12,2,3.97
5AD070020,FURILAN 20 MG SOLUTÉ INJ 20MG INJECTA (0,1.0,2024-02-19,3,4.6
5AD070020,FURILAN 20 MG SOLUTÉ INJ 20MG INJECTA (0,1.0,2024-02-26,4,4.5
5BB090109,LUNETTE A OXYGENE ADULTE,1.0,2024-02-05,1,4.65
5BB090109,LUNETTE A OXYGENE ADULTE,1.0,2024-02-12,2,4.54
5BB090109,LUNETTE A OXYGENE ADULTE,1.0,2024-02-19,3,4.96
5BB090109,LUNETTE A OXYGENE ADULTE,1.0,2024-02-26,4,4.42
5AD070005,ADRENALINE 1 MG AMPOULE  1MG INJECTA (10,1.0,2024-02-05,1,0.0
5AD070005,ADRENALINE 1 MG AMPOULE  1MG INJECTA (10,1.0,2024-02-12,2,3.2
5AD070005,ADRENALINE 1 MG AMPOULE  1MG INJECTA (10,1.0,2024-02-19,3,1.21
5AD070005,ADRENALINE 1 MG AMPOULE  1MG INJECTA (10,1.0,2024-02-26,4,3.91
5AD220021,GLUCOSE 5% SOLUTION POUR 5%Po500ml INJEC,1.0,2024-02-05,1,11.01
5AD220021,GLUCOSE 5% SOLUTION POUR 5%Po500ml INJEC,1.0,2024-02-12,2,15.5
5AD220021,GLUCOSE 5% SOLUTION POUR 5%Po500ml INJEC,1.0,2024-02-19,3,5.39
5AD220021,GLUCOSE 5% SOLUTION POUR 5%Po500ml INJEC,1.0,2024-02-26,4,9.89
5BB060001,ALESE 60X90CM,1.0,2024-02-05,1,2.69
5BB060001,ALESE 60X90CM,1.0,2024-02-12,2,2.75
5BB060001,ALESE 60X90CM,1.0,2024-02-19,3,3.12
5BB060001,ALESE 60X90CM,1.0,2024-02-26,4,2.79
5AD010052,SOLUMEDROL 120 MG/2ML INJECTABLE 1 FLACO,1.0,2024-02-05,1,3.72
5AD010052,SOLUMEDROL 120 MG/2ML INJECTABLE 1 FLACO,1.0,2024-02-12,2,3.65
5AD010052,SOLUMEDROL 120 MG/2ML INJECTABLE 1 FLACO,1.0,2024-02-19,3,3.31
5AD010052,SOLUMEDROL 120 MG/2ML INJECTABLE 1 FLACO,1.0,2024-02-26,4,3.24
5BB060144,PANSEMENT CUTICCELL CLASSIC 10X10CM,1.0,2024-02-05,1,5.77
5BB060144,PANSEMENT CUTICCELL CLASSIC 10X10CM,1.0,2024-02-12,2,5.48
